id,title,artist,score
3SGBjlzkYK52pRFisKT3pJ,The Pentagram Burns,Satyricon,-0.9974672008745746
2Mp5jdMQspKnFjlk8ACsMw,Arv - Live,Mork,-0.983175998872086
6Vr7Y4VhprmpQk4voaHYvs,Kuin Öinen Meri,Havukruunu,-0.9781442557236828
15BIjaacvCfjggc0PKu07B,Rendido Estou (Arms Open Wide),Aline Barros,-0.9669964438109497
7472P30KNDvqlHFJ8kjohy,Mother North,Satyricon,-0.9352465413334115
2ViSWfhT0kvEulXA1HH7Wk,Sugar Daddy,Qveen Herby,-0.9286451340817592
4YGX0YEh54BUdaGHyYB6FZ,Faz Chover - Ao Vivo,Trazendo a Arca,-0.9048886844371583
3RIeNvIwO6ZRMLiwla7DdY,Gitt Til Odin,Whoredom Rife,-0.9021147682630789
3RIeNvIwO6ZRMLiwla7DdY,Gitt Til Odin,Whoredom Rife,-0.9021147682630789
3fAk3N2rvFZI4QqHbaFJX2,Moja Ratyzbona,Gruzja,-0.9014141136422846
18FDTeGchVq0wpUjfm22OU,Toinen Tuleminen,Sarastus,-0.8983150720238363
6Uk9E5Ps5FvtYDpmjZ4EeI,Pulsos - Ao Vivo,Pitty,-0.892906382778463
7AAhTVkiRA1SppqGAovLVJ,A Swarm of Plagues,Naglfar,-0.8855047057936581
3pRYJJpoooF552RU4FYG8m,Wielki Mizogin,Odraza,-0.8794059658236476
4z2GRuRAPbN7mhuz6eH0DY,Sado Messiah,Belphegor,-0.8757127210699415
7pKLfNJY7SHmJNdu8pqZzc,Cry Baby - LIVE,Official HIGE DANdism,-0.8754809174378921
7vQS9xDSohpM2Y450RmPKH,Phantom Funeral,Desaster,-0.8731605101491625
67bHMpfN2QFLUpLNPiBNd7,Schicksal der Götter,Obscurity,-0.8709316326354782
1K8wuukCdlJPDgwfgsO1i8,The Eternal Glory of War,Deströyer 666,-0.8639682083255336
4tRTglAwmKdf6ir90DH5pS,Our Requiem,Winds of Plague,-0.8627900810481458
6nUpzmNt1zC6IhLFQ9jYRu,Vive La France,al'Tyr,-0.8603826951827531
0iW6j69kd9YJSM66Lywz86,Affront Final,Akitsa,-0.8560280560445804
73iM4TuuYXDB6NKIy0zZYn,Tudo O Que Me Prometeu,Israel Salazar,-0.8519139713636722
3yc4ioKMDoCW1QwzD5C9oC,Melhor Lugar - Ao Vivo,Marcelo Markes;André Aquino,-0.8414563095179678
06Rxt3Twa6Y5X7GDLWiaEB,The Devil Master (Devil is Your Master),Devil Master,-0.8406927591702372
7ALT7GdBvEkUHQ75rdDxGX,A Sculpture of the Night,Marduk,-0.8398421522814169
188vCXc4bAejLqGhpEVBGT,Jiyuu no Tsubasa,Linked Horizon,-0.8391382574862125
3cjwiHpAEd9qm9jrC8HNTv,Devil's Excrement,Midnight,-0.8328191468901917
0EccT8UeXWgXtgm5XwFoYJ,Sanat Kuolleiden,Sarastus,-0.8313946422099405
6NO0Up4grjlWcprtv4H4dN,Deus do Secreto,Ministério Sarando a Terra Ferida,-0.8313808305474425
2ocyydRHIscl3eEDxBTgAA,Gente Morta Não Conta História,Yung Buda,-0.8285594118972324
1QvQz96lNtXPGoC3fCShQK,Prowling Leather,Midnight,-0.8231568802620637
5asYnKjFDtLjMa4qWzgajy,The Time of Revenge,Graveland,-0.8223531803007562
1EcNJPxbjvi4HJ0iPBDkJp,Hymn of Annihilation,Aversions Crown,-0.8223239727341196
3jZkidbmYvfTJLHRYQzh2g,Vento Impetuoso - Ao Vivo,Fernandinho,-0.82210180430677
3ISHQXKKHknc19IkrjrDU0,The Promise Of Fever,Cradle Of Filth,-0.8217818319730577
0PeeknWE7vgcMdwzbKRfCy,Primordial,Mortuary Drape,-0.8195830337839498
6KqhPfkGbliDxjIQBVzltm,Manitou,Samael,-0.8158100863918868
38XmF28XW6a7g44JhZdsDT,Forward!,Anaal Nathrakh,-0.8156512172271662
0J1SNj1evDHEYHZzHT7Zps,Caught in the System,Aversions Crown,-0.8097335908521317
6bKp7enSiddwKgfJ49Zkq4,Dr Duschanka,LIK,-0.8091610559234349
1Zo5U3cJVRLhYCXhm8TMV8,"Yeshua, Nós Te Amamos - Ao Vivo",Jhonas Serra,-0.8090256462565625
0SzNyaaHr8irGzhulluvli,Phone Booth,Carbonas,-0.8053125085527081
1GzwDazWVTlh2GxPiCTAPc,Apocalyptic Hybrid,Hypocrisy,-0.7970924065499109
6QbM4HWbXwOyHLhgLXwjwW,Valdogg,Kampfar,-0.7964730222583527
09m9jUkYKbSg51QRmIMb29,Cursing the Storm to Come,Whoredom Rife,-0.7927785846695762
3vngBGUNo8lBTWhLybWeck,Winter,Nargaroth,-0.7914462745209954
3FlVpXdWH32y2vK4BABINO,Et Verbvm Caro Factvm Est,Negator,-0.790182077900764
5p6R8NZvwi1Hh4A5lMqclG,Damnations Jaw,Kvaen;Mike Wead,-0.7901791891140334
4zUU0VOduQFLb5iQhmaNDD,Chant for Ezkaton 2000 E. V.,Behemoth,-0.7896467363970359
5FU3G8Ey9QMMBlC698jxUB,Tongues,CABAL,-0.7889960528153591
5auwSKx96QcROy6CTGnHIl,Esta Noche - En Vivo,Panteon Rococo,-0.7855219058288208
5XaueS6W32nmVOFqYsmoCr,Leech,Angelmaker,-0.7849310839338185
7MpfjLn02ygBsL4N5z6aY7,I Am The Working Class,Darkthrone,-0.7835666862874048
3S3MAk28b2evnivIWkDshP,The Fight Song,Marilyn Manson,-0.7792462503160384
3S3MAk28b2evnivIWkDshP,The Fight Song,Marilyn Manson,-0.7792462503160384
6WmIyn2fx1PKQ0XDpYj4VR,Love It If We Made It,The 1975,-0.7787979545103179
6WmIyn2fx1PKQ0XDpYj4VR,Love It If We Made It,The 1975,-0.7787979545103179
06ZKQ9zWVEOR9C532mkj7K,Filho Do Deus Vivo - Ao Vivo,Nívea Soares,-0.7778945105328513
7sMxOsVRhzYk6BImA4QJKA,"Travels to Sadness, Hate & Depression",Mutiilation,-0.7778440691841234
2O03PVLpxzIX3D8k2fJwRn,Naglfar,Obscurity,-0.7764994855834169
0AfL2S0ioAoRZZLwJdNNXm,Gods Hideous Creation,Rose Funeral,-0.7727437724974525
6c3fEqmGtRWXaqANTlwV4o,I Love... - LIVE,Official HIGE DANdism,-0.771362839223323
4j6z2ZWATIxUHFNpFsAL7l,Dono do Mundo - Ao Vivo,Fernandinho,-0.7699956880432773
33s79TvOucGLnJLjAX7N4b,Come the Flood,Primordial,-0.7675617139652328
05Z98vhPXAgQpqJALbSebN,Malaria Vvlgata,Behemoth,-0.7673777211808451
67VnPLN3mqfnyJYVtSSeBT,The Last Revelation,Deströyer 666,-0.7672941806014618
5stvXtndN1qb5ZjfNgvP34,Craving for Another Killing,Hypocrisy,-0.7663074420544078
66EOdKkzuonSLBXOrActDD,Symphonicsuite (Aot) Part2-1st: Attack on Titan (Wmid),Hiroyuki Sawano,-0.7639470554438372
6BIXRDDnAQxaUM7ZegUUuY,Les yeux de ma mère,Arno,-0.7633839821744788
2M95nL0Ud35yRuvbNKgxIx,Under Black Sails,Fleshgod Apocalypse,-0.7633606631372807
05WqC899EL61Xl3YChVMGY,Meu Alvo,Thiago Brado,-0.7625318289555819
0A6yvUmWmoAOzHH0o1UdUj,Master/Slave,Portrayal of Guilt,-0.7620111214248926
1ACPXBpp4m1okYEiUkYfcU,Desperta - Ao Vivo,Colo de Deus,-0.7616519624141016
1Pj511so3LG0PKCkZrkd5Z,Métal Noir,Seth,-0.7615798886434377
7xNQMlboWKQvUzI1FxG6Cs,Ora Pro Nobis Lucifer,Behemoth,-0.7571493310401132
5mUbYcKBo74303TmkY5GWR,Exile Amongst the Ruins,Primordial,-0.756966401985263
0VeoSHlgashtg5JYPJjl15,Stronger,The Score,-0.7538892371093933
0VeoSHlgashtg5JYPJjl15,Stronger,The Score,-0.7538892371093933
2JIRtFAIUkd86PQD12Hm7r,Transilvanian Hunger - Studio,Darkthrone,-0.7506268608568407
0IVdlBreRkZn0ftoUwB0T6,Her Ghost in the Fog,Cradle Of Filth,-0.7500909891207603
1EXeXN2Bd5R4IRRHQyGr7A,Forged In Fire,Winds of Plague,-0.7499501658437705
0HF844CZVnlnsHOKmiPORg,Flight of Thought and Memory,Enslaved,-0.7483083066320484
3ExKJt4K8duUfEG49QWzPi,This Is Amazing Grace,Bethel Music;Jeremy Riddle,-0.7482991345257488
1VsLooKcj4aeV9BFI2hkj0,I Am III,Bölzer,-0.7477880473696716
0zdzgfhY18Au7dD1hOrTrX,Never Tear Us Apart,Bishop Briggs,-0.7474623858392266
0zdzgfhY18Au7dD1hOrTrX,Never Tear Us Apart,Bishop Briggs,-0.7474623858392266
6H4oDZa171NFaEeVaeFCES,Dreadful Discovery,Mortuary Drape,-0.7468757374804145
2kEBwl8sSQiuVzND58tKmO,World Serpent (Devourer of Dreams),In Aphelion,-0.7461364359922502
29mUG9GzI9bCd3CPRLpmPM,Casus Luciferi,Watain,-0.7459819579107734
4HqNd2LxuZ8ByR7E4tKeLK,Hiking Metal Punks,Darkthrone,-0.7453803934987155
3pJIlfJpdSYDSjjs5tVWSZ,The Great Hunter,Yoth Iria,-0.7442616010753205
75vBeICzLafF3LOs1rC3DH,I Wanna Be Your Dog,The Stooges,-0.7442378394074423
12WLT3O9PvyLDPz65JcWmk,Batiza-Me - Ao Vivo,Fernandinho,-0.7426268124456141
3Uka2jwSScMbdeNxDITP2E,Cleansed In Pestilence (Blade Of Elohim),Morbid Angel,-0.7412238365745685
0jRdMXriTIWk0Bjr3ZSp49,Flowers in Fire,Cadaveria,-0.7396552912386078
2xfDn2qd2aJpa8SVXEkBko,Aggressor,Exciter,-0.7395390923714968
0A4Xb4Io50uHnHZ1V8x2KC,The Deathless Sun,Behemoth,-0.7386564376272384
6b0HdwX9k0RtOUHRvWYl4J,The Deathless Sun,Behemoth,-0.7386564376272384
3uQwNZP7npNIGFvE3gk47Z,Bom Perfume,Gabi Sampaio,-0.7386329100988522
7nTxmv4ZlAb1OstqNLPheH,Lost In My Room - LIVE,Official HIGE DANdism,-0.736054762840632
6FmQMYlxRl56FIgOwvRBil,En Lenke Smidd I Blod,Whoredom Rife,-0.7359801197790847
6FmQMYlxRl56FIgOwvRBil,En Lenke Smidd I Blod,Whoredom Rife,-0.7359801197790847
2YRx8jviX9HnvxD0uDIOma,Champion - Live,Bethel Music;Dante Bowe,-0.7320954763002159
6gBixXEBNrk90Bd9FUUPWU,Head Full Of Doubt/Road Full Of Promise - Live At Bojangles' Coliseum/2009,The Avett Brothers,-0.7318939971823031
53c9YHuifgAWJoqgPOgPUn,Long Before Winter's Call,Unleashed,-0.7308247503544723
19KiI0QSV1PmzWmPYgpVf2,Temple of Light,Negator,-0.7307867175481123
7lcTpZtdTyfiIgVIpmTVut,Shoukei to Shikabane no Michi,Linked Horizon,-0.7301985343712436
1FvGtid4hstXGTMqZWHAHM,Milagres - Ao Vivo,Juliano Son,-0.7299824156205954
2ktq6Mjg0O6BVq9U8FTzGE,Left to Drown,Jesus Piece,-0.728464737865281
70RLwSIBClxedybDYa2XWy,Graveyard Slut,Darkthrone,-0.7279640497964782
6CIwEZhbp17LhI8u8VvwyU,Little Drummer Boy,The Dandy Warhols,-0.7260741073296154
1nNIr4oOXhBn6vWSsE6hu2,Meu Alvo,Kleber Lucas;Fernandinho,-0.7248788512329336
45znDER6ghdltzbU6EyvPR,Eye Of The Greyhound,Unanimated,-0.7243839973800916
1j8L336Q0X3SrJ3n8RGlHP,One Thousand Years of Rain,Enslaved,-0.723659428097132
2XWPMU0Wl1QESmqrOpipYx,Manngard,Khold,-0.7232648634633301
3D0xB8fSqMyycALgNMpxwM,Without Rule - Live 80 Meters Deep,Moonspell,-0.722985564536591
3Da5CbGVl354ZoVhOaUUEW,Over Nine Waves,SuidAkrA,-0.7225754854668749
0AnyeHDkVoY5wn1NXYpQJD,Blessed He With Boils,Xanthochroid,-0.7218676820660352
5zcNcMFtlo2ikzUyGwDt9e,The Fire Within Him Burns,Kvaen;Mathias Lillmåns,-0.7216713586098455
3Zj9WSEjueL8UecCOC67tT,SAKURA BURST (Naeleck Remix) - SACRA BEATS Singles,Cö Shu Nie;Naeleck,-0.7215735085993673
4gb0u3m6CgWufipNiXx8ij,Para No Verme Más - En Vivo,La Vela Puerca,-0.7201761232200796
4Xjj5GXm3uQGtkHmmWrLR2,Thank God For The Suffering,Cradle Of Filth,-0.7190310587590112
2O5QijC25ENqIc04YOsuw1,Quem Sou Eu?,PG,-0.7181443025171187
1T0LELb5T66hlUGmeTyTow,Onkel Fritze,Eisregen,-0.716673795078866
5IXtD2TsspSRVym4DVgdt8,Extinction of Darkness and Light,Inquisition,-0.7166592822289459
7bj7MeJ2P5SYUyA1cSwZgl,Yhdeksäs,Ajattara,-0.7159409448614277
4FyflphvUqX71jrNDqTg4J,Feed the Gun,Witchery,-0.7157509953020229
7Gx6qonxppv93FEpsIRGpW,Clarobscuro,La Vela Puerca,-0.7150870858666032
7Gx6qonxppv93FEpsIRGpW,Clarobscuro,La Vela Puerca,-0.7150870858666032
3oVtUUirowVa9DEtjazJVq,Só Existe Um Lugar - Ao Vivo,Nívea Soares;Isaias Saad,-0.7147631512196735
31RNX9vTwybIGVhteTpfT3,Todo Amor Que Houver Nessa Vida - Ao Vivo,Cássia Eller,-0.7142669594578975
7iPlcFvOMOzt6v0QvcAueZ,I Always Wanna Die (Sometimes),The 1975,-0.7134626948752747
1oEVFAAHzA8xPbPoaJB3bf,Un Osito de Peluche de Taiwán (feat. Fernando Ruiz Díaz) - Vivo en el Palacio de los Deportes,Los Auténticos Decadentes;Fernando Ruiz Diaz,-0.7121938516508409
0bMAWV9DDN2fllpvCtpzWl,Vem Me Buscar - Ao Vivo,Jefferson & Suellen,-0.7115853267070532
6nBZFWCx4X5EF50Php0vyy,Vampyria,Siebenbürgen,-0.7093513623971293
